8,Marquette King,OAK,P,21,925,819,62,44.0,39.0,0,1,5,9,1,5,9,86,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2014&seasonType=PRE&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2014,PRE,PUNTING,1
9,Dave Zastudil,ARI,P,20,880,783,58,44.0,39.2,0,3,3,7,1,3,10,77,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2014&seasonType=PRE&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2014,PRE,PUNTING,1
10,Ryan Quigley,NYJ,P,20,857,777,58,42.9,38.9,0,4,3,5,0,2,11,80,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2014&seasonType=PRE&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2014,PRE,PUNTING,1
11,Dustin Colquitt,KC,P,18,845,734,71,46.9,40.8,0,2,2,8,0,4,10,111,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2014&seasonType=PRE&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2014,PRE,PUNTING,1
12,Thomas Morstead,NO,P,18,809,767,55,44.9,42.6,0,1,1,5,0,8,8,42,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2014&seasonType=PRE&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2014,PRE,PUNTING,1
13,Brad Nortman,CAR,P,16,802,656,74,50.1,41.0,0,1,0,6,2,3,10,106,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2014&seasonType=PRE&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2014,PRE,PUNTING,1
14,Kasey Redfern,JAC,P,16,743,647,59,46.4,40.4,0,2,1,4,1,1,11,76,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2014&seasonType=PRE&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2014,PRE,PUNTING,1
15,Tim Masthay,GB,P,17,736,717,56,43.3,42.2,0,2,5,6,1,3,6,-1,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2014&seasonType=PRE&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2014,PRE,PUNTING,1
16,Jeff Locke,MIN,P,16,702,612,54,43.9,38.3,0,0,1,4,4,4,7,10,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2014&seasonType=PRE&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2014,PRE,PUNTING,1
17,Johnny Hekker,STL,P,14,686,620,76,49.0,44.3,0,4,1,5,0,3,6,66,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2014&seasonType=PRE&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2014,PRE,PUNTING,1
18,Ryan Allen,NE,P,15,678,605,57,45.2,37.8,1,1,2,2,1,2,9,53,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2014&seasonType=PRE&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2014,PRE,PUNTING,1
