3,Mike Nugent,CIN,K,4,262,0,65.5,3,75.0,1,16.0,0,0,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=POST&d-447263-n=2&d-447263-o=2&statisticCategory=KICKING&conference=null&d-447263-p=1,2015,POST,KICKING,1
5,Graham Gano,CAR,K,18,1178,0,65.4,11,61.1,7,25.6,0,0,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=POST&d-447263-n=2&d-447263-o=2&statisticCategory=KICKING&conference=null&d-447263-p=1,2015,POST,KICKING,1
6,Brandon McManus,DEN,K,17,1102,0,64.8,14,82.4,3,20.3,0,0,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=POST&d-447263-n=2&d-447263-o=2&statisticCategory=KICKING&conference=null&d-447263-p=1,2015,POST,KICKING,1
7,Mason Crosby,GB,K,12,768,0,64.0,6,50.0,6,18.5,0,0,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=POST&d-447263-n=2&d-447263-o=2&statisticCategory=KICKING&conference=null&d-447263-p=1,2015,POST,KICKING,1
8,Blair Walsh,MIN,K,4,255,0,63.8,3,75.0,1,12.0,0,0,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=POST&d-447263-n=2&d-447263-o=2&statisticCategory=KICKING&conference=null&d-447263-p=1,2015,POST,KICKING,1
9,Chris Boswell,PIT,K,11,684,0,62.2,8,72.7,2,25.0,0,1,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=POST&d-447263-n=2&d-447263-o=2&statisticCategory=KICKING&conference=null&d-447263-p=1,2015,POST,KICKING,1
10,Stephen Gostkowski,NE,K,11,672,0,61.1,7,63.6,4,23.3,0,1,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=POST&d-447263-n=2&d-447263-o=2&statisticCategory=KICKING&conference=null&d-447263-p=1,2015,POST,KICKING,1
11,Cairo Santos,KC,K,12,729,0,60.8,10,83.3,1,26.0,0,1,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=POST&d-447263-n=2&d-447263-o=2&statisticCategory=KICKING&conference=null&d-447263-p=1,2015,POST,KICKING,1
12,Tim Masthay,GB,P,1,57,0,57.0,0,0.0,1,22.0,0,0,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=POST&d-447263-n=2&d-447263-o=2&statisticCategory=KICKING&conference=null&d-447263-p=1,2015,POST,KICKING,1
13,Steven Hauschka,SEA,K,8,425,0,53.1,0,0.0,7,17.7,0,1,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=POST&d-447263-n=2&d-447263-o=2&statisticCategory=KICKING&conference=null&d-447263-p=1,2015,POST,KICKING,1
1,Shaun Suisham,PIT,K,2,146,0,73.0,0,0.0,2,29.0,0,0,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=PRE&d-447263-n=2&d-447263-o=2&statisticCategory=KICKING&conference=null&d-447263-p=1,2015,PRE,KICKING,1
2,Corey Acosta,SF,K,1,70,0,70.0,0,0.0,1,22.0,0,0,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=PRE&d-447263-n=2&d-447263-o=2&statisticCategory=KICKING&conference=null&d-447263-p=1,2015,PRE,KICKING,1
2,Dustin Colquitt,KC,P,1,70,0,70.0,0,0.0,1,56.0,0,0,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=PRE&d-447263-n=2&d-447263-o=2&statisticCategory=KICKING&conference=null&d-447263-p=1,2015,PRE,KICKING,1
2,Tim Masthay,GB,P,1,70,0,70.0,0,0.0,1,14.0,0,0,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=PRE&d-447263-n=2&d-447263-o=2&statisticCategory=KICKING&conference=null&d-447263-p=1,2015,PRE,KICKING,1
5,Greg Zuerlein,STL,K,7,488,0,69.7,4,57.1,3,27.0,0,0,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=PRE&d-447263-n=2&d-447263-o=2&statisticCategory=KICKING&conference=null&d-447263-p=1,2015,PRE,KICKING,1
6,Michael Palardy,STL,P,5,346,0,69.2,3,60.0,2,27.0,0,0,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=PRE&d-447263-n=2&d-447263-o=2&statisticCategory=KICKING&conference=null&d-447263-p=1,2015,PRE,KICKING,1
7,Phil Dawson,SF,K,7,483,0,69.0,0,0.0,7,22.9,0,0,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=PRE&d-447263-n=2&d-447263-o=2&statisticCategory=KICKING&conference=null&d-447263-p=1,2015,PRE,KICKING,1
8,Patrick Murray,TB,K,6,413,0,68.8,1,16.7,5,22.0,0,0,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=PRE&d-447263-n=2&d-447263-o=2&statisticCategory=KICKING&conference=null&d-447263-p=1,2015,PRE,KICKING,1
9,Cairo Santos,KC,K,22,1507,0,68.5,6,27.3,16,24.4,0,0,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=PRE&d-447263-n=2&d-447263-o=2&statisticCategory=KICKING&conference=null&d-447263-p=1,2015,PRE,KICKING,1
10,Josh Brown,NYG,K,12,819,0,68.3,4,33.3,8,29.4,0,0,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=PRE&d-447263-n=2&d-447263-o=2&statisticCategory=KICKING&conference=null&d-447263-p=1,2015,PRE,KICKING,1
