week,team1,team2,home
2,PHI,KC,FALSE
3,PHI,NYG,TRUE
4,PHI,LAC,FALSE
5,PHI,ARI,TRUE
6,PHI,CAR,FALSE
7,PHI,WAS,TRUE
8,PHI,SF,TRUE
9,PHI,DEN,TRUE
10,PHI,BYE,TRUE
11,PHI,DAL,FALSE
12,PHI,CHI,TRUE
13,PHI,SEA,FALSE
14,PHI,LAR,FALSE
15,PHI,NYG,FALSE
16,PHI,OAK,TRUE
17,PHI,DAL,TRUE
1,PIT,CLE,FALSE
2,PIT,MIN,TRUE
3,PIT,CHI,FALSE
4,PIT,BAL,FALSE
5,PIT,JAC,TRUE
6,PIT,KC,FALSE
7,PIT,CIN,TRUE
8,PIT,DET,FALSE
9,PIT,BYE,TRUE
10,PIT,IND,FALSE
11,PIT,TEN,TRUE
12,PIT,GB,TRUE
13,PIT,CIN,FALSE
14,PIT,BAL,TRUE
15,PIT,NE,TRUE
16,PIT,HOU,FALSE
17,PIT,CLE,TRUE
1,SEA,GB,FALSE
2,SEA,SF,TRUE
3,SEA,TEN,FALSE
4,SEA,IND,TRUE
5,SEA,LAR,FALSE
6,SEA,BYE,TRUE
7,SEA,NYG,FALSE
8,SEA,HOU,TRUE
9,SEA,WAS,TRUE
10,SEA,ARI,FALSE
11,SEA,ATL,TRUE
12,SEA,SF,FALSE
13,SEA,PHI,TRUE
14,SEA,JAC,FALSE
15,SEA,LAR,TRUE
16,SEA,DAL,FALSE
17,SEA,ARI,TRUE
1,SF,CAR,TRUE
2,SF,SEA,FALSE
3,SF,LAR,TRUE
4,SF,ARI,FALSE
5,SF,IND,FALSE
6,SF,WAS,FALSE
7,SF,DAL,TRUE
8,SF,PHI,FALSE
9,SF,ARI,TRUE
10,SF,NYG,TRUE
11,SF,BYE,TRUE
12,SF,SEA,TRUE
13,SF,CHI,FALSE
14,SF,HOU,FALSE
15,SF,TEN,TRUE
16,SF,JAC,TRUE
17,SF,LAR,FALSE
1,TB,MIA,FALSE
2,TB,CHI,TRUE
3,TB,MIN,FALSE
4,TB,NYG,TRUE
5,TB,NE,TRUE
6,TB,ARI,FALSE
7,TB,BUF,FALSE
8,TB,CAR,TRUE
9,TB,NO,FALSE
10,TB,NYJ,TRUE
11,TB,BYE,TRUE
12,TB,ATL,FALSE
13,TB,GB,FALSE
14,TB,DET,TRUE
15,TB,ATL,TRUE
16,TB,CAR,FALSE
17,TB,NO,TRUE
1,TEN,OAK,TRUE
2,TEN,JAC,FALSE
