url,year,seasonType,category
http://www.nfl.com/stats/categorystats?tabSeq=0&season=2011&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=KICK_RETURNS&conference=null&d-447263-p=1,2011,REG,KICK_RETURNS
http://www.nfl.com/stats/categorystats?tabSeq=0&season=2011&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2011,REG,PUNTING
http://www.nfl.com/stats/categorystats?tabSeq=0&season=2011&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=SACKS&conference=null&d-447263-p=1,2011,REG,SACKS
http://www.nfl.com/stats/categorystats?tabSeq=0&season=2011&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=TACKLES&conference=null&d-447263-p=1,2011,REG,TACKLES
http://www.nfl.com/stats/categorystats?tabSeq=0&season=2011&seasonType=POST&d-447263-n=2&d-447263-o=2&statisticCategory=PASSING&conference=null&d-447263-p=1,2011,POST,PASSING
http://www.nfl.com/stats/categorystats?tabSeq=0&season=2011&seasonType=POST&d-447263-n=2&d-447263-o=2&statisticCategory=RUSHING&conference=null&d-447263-p=1,2011,POST,RUSHING
http://www.nfl.com/stats/categorystats?tabSeq=0&season=2011&seasonType=POST&d-447263-n=2&d-447263-o=2&statisticCategory=RECEIVING&conference=null&d-447263-p=1,2011,POST,RECEIVING
http://www.nfl.com/stats/categorystats?tabSeq=0&season=2011&seasonType=POST&d-447263-n=2&d-447263-o=2&statisticCategory=KICKING&conference=null&d-447263-p=1,2011,POST,KICKING
http://www.nfl.com/stats/categorystats?tabSeq=0&season=2011&seasonType=POST&d-447263-n=2&d-447263-o=2&statisticCategory=FIELD_GOALS&conference=null&d-447263-p=1,2011,POST,FIELD_GOALS
http://www.nfl.com/stats/categorystats?tabSeq=0&season=2011&seasonType=POST&d-447263-n=2&d-447263-o=2&statisticCategory=KICK_RETURNS&conference=null&d-447263-p=1,2011,POST,KICK_RETURNS
http://www.nfl.com/stats/categorystats?tabSeq=0&season=2011&seasonType=POST&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2011,POST,PUNTING
http://www.nfl.com/stats/categorystats?tabSeq=0&season=2011&seasonType=POST&d-447263-n=2&d-447263-o=2&statisticCategory=SACKS&conference=null&d-447263-p=1,2011,POST,SACKS
